baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KRT19	9261.59168856075	10.2866985571201	1.3565219495067	7.58314199107566	3.37285366651145e-14	2.50128311426456e-11
MST1	267.734354021078	3.43812660374694	0.458432671122829	7.49974166397437	6.39437299192253e-14	4.42955656349542e-11
FAT3	172.453670937015	6.30008469989228	0.844563483323599	7.45957506367626	8.68019667542142e-14	5.75157379710532e-11
FAT2	492.548269989635	6.31638739084871	0.85107403923717	7.42166615317062	1.15656042319026e-13	7.34415868725812e-11
TNS4	1570.75449031911	8.41611100906002	1.13513847006125	7.41417124961498	1.22387694062066e-13	7.46075383002353e-11
CNTN6	220.971121454261	9.39798511261866	1.27452810096537	7.37369784589317	1.65959095479354e-13	9.72775621194366e-11
GRID1	300.713550127435	6.91172355425282	0.940291061388096	7.35062135340248	1.97287569157614e-13	1.11357872368964e-10
SPOCK2	20202.1980937602	9.71579488278924	1.33193580584349	7.29449185175736	2.99788368653391e-13	1.6317052636706e-10
GSTM1	430.011736195355	8.01062454617233	1.11942584189331	7.15601181104039	8.30579904016948e-13	4.36484059904079e-10
GPC4	1156.8175300696	7.74520498343926	1.08676699225662	7.12683126983522	1.02705865779511e-12	5.21745798159918e-10
TSPAN11	176.038157829362	6.42225647860806	0.902597394734348	7.11530580087511	1.11664972492241e-12	5.48959413155403e-10
DEPDC6	1394.41228505924	4.59174575036888	0.647465842149422	7.09187334906417	1.32308574344774e-12	6.30119585316987e-10
SEPP1	481.172974730537	5.55770630326624	0.788767114925211	7.04606746161471	1.84045051241034e-12	8.49953509367683e-10
CLIC3	196.183919395812	5.45990597026229	0.780485346718309	6.99552655692955	2.64264518248388e-12	1.18452684061924e-09
KCNJ12	394.028531909877	5.32421762657309	0.767200139252631	6.93980273747041	3.92647826724376e-12	1.70970082265128e-09
POU2F2	1092.21551277804	-5.35451313175474	0.778003575126183	-6.88237599793331	5.88623980724128e-12	2.49184151839881e-09
MEGF6	236.223561788339	6.6359462725106	0.969066192222795	6.84777399703668	7.50079372476965e-12	3.0895161179862e-09
IL1A	1453.0072524507	-7.44850324068195	1.09550777162515	-6.79913318153126	1.05250486535428e-11	4.22109845999978e-09
AGTR1	517.564337988041	-6.59084575992575	0.970945144452007	-6.78807221765918	1.1364176647187e-11	4.2876719260503e-09
C1QL1	649.069774469557	4.29578612948697	0.63278787952723	6.78866689528953	1.13174406824124e-11	4.2876719260503e-09
COL14A1	728.81034913717	6.93861877581709	1.02250261486403	6.78591787928067	1.15350753916051e-11	4.2876719260503e-09
DAPK1	510.277019510348	6.82873207317414	1.00892955230606	6.76829423577303	1.3030954365623e-11	4.72837486981179e-09
FOXG1	402.159140956299	-11.1049965272865	1.65049483140842	-6.7282831281636	1.71676630248891e-11	5.94625419316613e-09
PDE1A	2746.01406668871	7.90690757219963	1.17510425092743	6.72868604292702	1.71202001696938e-11	5.94625419316613e-09
COL3A1	2876.9919703098	6.95369246188577	1.04295858284899	6.66727574444117	2.60595208375633e-11	8.8254910569881e-09
GPR56	7659.33668060894	4.80922158402185	0.72223964641931	6.65876154523615	2.76144532662296e-11	9.14878842994216e-09
FCGBP	465.555670265216	5.21975164842282	0.784527940659826	6.6533661554906	2.8646432820677e-11	9.28875821674717e-09
PTPN6	178.693776276813	5.44651876499368	0.824472357680761	6.60606594539413	3.94667139743833e-11	1.25306816868667e-08
LYNX1	265.048001037968	4.43327281022674	0.675017228257744	6.56764394246537	5.11175905008392e-11	1.58986138618937e-08
HOXB5	339.182300863416	-6.70544501235948	1.02631039825356	-6.53354484546772	6.42309490891612e-11	1.95775932823763e-08
DDX3Y	1000.1818347463	10.2675295543701	1.57283412601758	6.52804347548554	6.66343576739301e-11	1.99119139402097e-08
NFE2	52.5650045649379	9.22048355958059	1.44214727270637	6.39357972246286	1.6204644651056e-10	4.7492073938864e-08
TIAM2	203.560331624473	4.73991890089558	0.743383743501291	6.3761401057425	1.81606800188656e-10	5.22205214127382e-08
ITGBL1	1542.65527469102	5.31302760897915	0.835740758714056	6.35726755406095	2.05374104564346e-10	5.79611361770489e-08
GPR116	775.032370719714	7.86130388801257	1.23949422275243	6.3423481479048	2.26289218418133e-10	6.27026852489517e-08
P2RX7	108.918824301338	4.34156446591336	0.689465871602369	6.29699691418119	3.03467319084846e-10	8.25864632652331e-08
GRIK4	108.597285781573	7.38230982572488	1.18526507669188	6.22840406833649	4.71210476618999e-10	1.2598680111708e-07
FAM196B	251.701681195831	-5.62537758750314	0.906954821921604	-6.20248930986927	5.55769611323603e-10	1.46033256492616e-07
RELN	406.853351096388	5.69672640717674	0.919763033621062	6.19368924270527	5.87720475493633e-10	1.49281000775383e-07
SSR3	16971.8732881378	-1.86162848247979	0.300497037158925	-6.19516418557971	5.82243045711052e-10	1.49281000775383e-07
ASS1	2535.39455978456	4.05631978575006	0.658036567345654	6.16427716488793	7.08058286842395e-10	1.76898496581608e-07
PPP1R14C	470.798521669788	7.20528133732675	1.17304226139164	6.14238853490134	8.1289719950616e-10	1.99815376136675e-07
SPATA18	283.057498659229	9.76089488840204	1.60326698902769	6.08812815033483	1.14238418188006e-09	2.76348173521462e-07
DNER	627.724365805026	-6.36609336305627	1.04931064197576	-6.06692918988171	1.30379004112868e-09	3.10465003543766e-07
MUC1	342.482402879824	3.37922506786717	0.558186137178222	6.05393943488106	1.41345771062989e-09	3.31401469384609e-07
METTL7A	411.01696053079	4.80568530979723	0.796767591719937	6.03147688201457	1.62467969815937e-09	3.75153312120436e-07
GFRA2	151.165427953603	9.78117932874754	1.63041096910749	5.9992109437916	1.98278644852832e-09	4.51009932471217e-07
