baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C1QL1	649.069774469557	4.29578612948697	0.63278787952723	6.78866689528953	1.13174406824124e-11	4.2876719260503e-09
C1QTNF2	164.58174461462	-3.82742032777439	0.794979051559992	-4.81449205518539	1.47574774494087e-06	0.000121569706123778
C1orf115	210.036714523603	3.1154789944178	1.02039629780941	3.05320491764438	0.00226411272054351	0.0437326715603082
C1orf116	185.85506245834	5.92493905192461	1.62586811309586	3.64416953884579	0.000268256556724328	0.00873553402666402
C1orf187	60.0799379967931	4.10815808068641	1.09368707530404	3.75624634637321	0.000172480917953668	0.00634929755945385
C20orf195	14.5802637678381	3.59331740578769	1.15465111656949	3.11203735416077	0.00185800987515795	0.0375544701557125
C21orf125	23.7913045142208	3.97871805624142	1.08698366081878	3.66032922081314	0.000251891395122902	0.00836345285767545
C21orf63	287.843159250679	-3.15377352924378	0.706585280516284	-4.463401115488	8.06688355327727e-06	0.000499753273788397
C22orf36	127.034403678224	3.33943744814276	0.903308084733778	3.69689755309448	0.000218250364977702	0.00750820668681757
C2orf72	24.1232165937308	3.99322963208478	1.30521305644078	3.05944658795708	0.00221746324254789	0.0432150125529793
C4A	2128.16625459416	5.9456839951752	1.08042800921792	5.50308206048735	3.73208599375847e-08	5.26638801341474e-06
C4orf32	594.623953639384	-3.29626504913009	0.72810824196386	-4.52716348909797	5.9780690117779e-06	0.000396112051041284
C5orf4	510.905564354319	4.07114695690397	0.74329113458491	5.47719025221186	4.32132528252163e-08	5.97444852980975e-06
C6orf105	307.617085731191	-4.40825705674347	1.11843026748974	-3.94146795279206	8.09844564554737e-05	0.00336295127079406
C6orf154	28.4925470879035	2.5640180713533	0.717898668301739	3.57155986571021	0.000354861409912288	0.0108378514770807
C6orf176	17.0275265978358	7.59530522409758	2.20803183322829	3.43985313517548	0.000582029929755774	0.0155889914402074
C6orf27	70.6743962400975	2.54980437272307	0.801518589083359	3.1812167645907	0.00146657851030319	0.0317480916150861
C7orf29	78.2133229458505	4.78032227377244	0.983681413218791	4.85962447753315	1.17608617635125e-06	9.84810622395227e-05
C7orf40	80.6093492929846	-6.562442355469	1.79535252242511	-3.65523888679235	0.000256942609327104	0.00847576919079018
C7orf52	58.4703854664227	4.46908639228484	1.33891106919268	3.33785155348635	0.000844288424860021	0.0210244372465142
C7orf58	658.409489533773	-2.91063361956689	0.740294109427941	-3.9317260295588	8.43381485982837e-05	0.00347381995848066
C8orf79	127.049333187687	2.83521790374766	0.748730076449058	3.78670230157445	0.000152659814549357	0.00573038318653253
C9orf110	26.9699646645302	-8.16782964498741	2.10334771820251	-3.88325219567953	0.000103068567451076	0.00413359202093265
CACNB2	37.3999759702733	2.79804532261276	0.849062738134107	3.29545179283421	0.000982635611611287	0.0238461253518408
CADM2	197.844799403429	3.2786517590708	0.867041440753738	3.78142451440452	0.00015593350641919	0.00583888608803062
CADM3	1987.74447874118	7.6809162812431	1.32476071895147	5.79796499953776	6.71244563704104e-09	1.24753257937202e-06
CADPS	372.250336071789	-8.75201504223432	1.6780021097227	-5.21573542221629	1.8308935649182e-07	2.05167778892305e-05
CALCA	22.5021638598053	7.99701015875626	1.80530064305376	4.42973871943507	9.43473249356572e-06	0.000572849893234827
CALCB	541.82515939916	8.93094408801151	1.67871194633814	5.32011707398226	1.03700498060628e-07	1.27451257293868e-05
CAMK2B	62.3925306993309	5.39704596680403	1.18637885091603	4.54917580723633	5.38564352368027e-06	0.000362666675427508
CAMKK1	593.659579109466	2.20012119303413	0.551859721416037	3.98673994070224	6.69873803650463e-05	0.00290024908171393
